Episode Title,Season/Episode
A Hard Day's Night,101
The First Cut Is the Deepest,102
"Winning a Battle, Losing the War",103
No Man's Land,104
If Tomorrow Never Comes,106
Who's Zoomin' Who?,109
Raindrops Keep Falling On My Head,201
Enough is Enough,202
Make Me Lose Control,203
"Deny, Deny, Deny",204
Bring the Pain,205
Into You Like a Train,206
Something to Talk About,207
Let It Be,208
Thanks for the Memories,209
Much too Much,210
Owner of a Lonely Heart,211
Break on Through,215
It's the End of the World,216
As We Know It,217
Yesterday,218
What Have I Done to Deserve This?,219
Band-Aid Covers the Bullet Hole,220
Superstition,221
The Name of the Game,222
Blues for Sister Someone,223
Damage Case,224
17 Seconds,225
Deterioration of the Fight or Flight Response,226
Losing My Religion,227
Time Has Come Today,301
I Am a Tree,302
Sometimes a Fantasy,303
What I Am,304
"Oh, the Guilt",305
Let the Angels Commit,306
Where the Boys Are,307
Staring at the Sun,308
From a Whisper to a Scream,309
Don't Stand So Close to Me,310
"Six Days, Part 1",311
"Six Days, Part 2",312
Great Expectations,313
Wishin' and Hopin',314
Walk on Water,315
Drowning on Dry Land,316
Some Kind of Miracle,317
Scars and Souvenirs,318
My Favorite Mistake,319
Time After Time,320
Desire,321
"The Other Side of This Life, Part 1",322
"The Other Side of This Life, Part 2",323
Testing 1-2-3,324
Didn't We Almost Have It All?,325
A Change is Gonna Come,401
Love/Addiction,402
Let the Truth Sting,403
The Heart of the Matter,404
Haunt You Every Day,405
Kung Fu Fighting,406
Physical Attraction... Chemical Reaction,407
Forever Young,408
"Crash Into Me, Part 1",409
"Crash Into Me, Part 2",410
Lay Your Hands on Me,411
Where the Wild Things Are,412
Piece of My Heart,413
The Becoming,414
Losing My Mind,415
"Freedom, Part 1",416
"Freedom, Part 2",417
"Dream a Little Dream of Me, Part 1",501
"Dream a Little Dream of Me, Part 2",502
Here Comes the Flood,503
Brave New World,504
There's No 'I' in Team,505
Life During Wartime,506
Rise Up,507
These Ties That Bind,508
In the Midnight Hour,509
All By Myself,510
Wish You Were Here,511
Sympathy for the Devil,512
Stairway to Heaven,513
Beat Your Heart Out,514
Before and After,515
An Honest Mistake,516
I Will Follow You Into the Dark,517
Stand By Me,518
Elevator Love Letter,519
Sweet Surrender,520
No Good at Saying Sorry (One More Chance),521
What a Difference a Day Makes,522
Here's to Future Days,523
Now or Never,524
Good Mourning,601
Goodbye,602
I Always Feel Like Somebody's Watchin' Me,603
Tainted Obligation,604
Invasion,605
I Saw What I Saw,606
Give Peace a Chance,607
Invest in Love,608
New History,609
Holidaze,610
Blink,611
I Like You So Much Better When You're Naked,612
State of Love and Trust,613
Valentine's Day Massacre,614
The Time Warp,615
Perfect Little Accident,616
Push,617
Suicide is Painless,618
Sympathy for the Parents,619
"Hook, Line and Sinner",620
How Insensitive,621
Shiny Happy People,622
Sanctuary,623
Death and All His Friends,624
With You I'm Born Again,701
Shock to the System,702
Superfreak,703
Can't Fight Biology,704
Almost Grown,705
These Arms of Mine,706
That's Me Trying,707
Something's Gotta Give,708
"Slow Night, So Long",709
Adrift and at Peace,710
Disarm,711
Start Me Up,712
Don't Deceive Me (Please Don't Go),713
P.Y.T. (Pretty Young Thing),714
Golden Hour,715
Not Responsible,716
This is How We Do It,717
Song Beneath the Song,718
It's a Long Way Back,719
White Wedding,720
I Will Survive,721
Unaccompanied Minor,722
Free Falling,801
She's Gone,802
Take the Lead,803
What is It About Men,804
"Love, Loss and Legacy",805
Poker Face,806
"Put Me In, Coach",807
Heart-Shaped Box,808
Dark Was the Night,809
Suddenly,810
This Magic Moment,811
Hope for the Hopeless,812
If/Then,813
All You Need is Love,814
Have You Seen Me Lately?,815
If Only You Were Lonely,816
One Step Too Far,817
The Lion Sleeps Tonight,818
Support System,819
The Girl with No Name,820
Moment of Truth,821
Let the Bad Times Roll,822
Migration,823
Flight,824
"Going, Going, Gone",901
Remember the Time,902
Love the One You're With,903
I Saw Her Standing There,904
Beautiful Doom,905
Second Opinion,906
I Was Made for Lovin' You,907
Love Turns You Upside Down,908
"Run, Baby, Run",909
Things We Said Today,910
The End is the Beginning is the End,911
Walking on a Dream,912
Bad Blood,913
The Face of Change,914
Hard Bargain,915
This is Why We Fight,916
Transplant Wasteland,917
Idle Hands,918
Can't Fight This Feeling,919
She's Killing Me,920
Sleeping Monster,921
Do You Believe in Magic,922
Readiness is All,923
Perfect Storm,924
Seal Our Fate,1001
I Want You With Me,1002
Everybody's Crying Mercy,1003
Puttin' on the Ritz,1004
I Bet It Stung,1005
Map of You,1006
Thriller,1007
Two Against One,1008
Sorry Seems to Be the Hardest Word,1009
Somebody That I Used to Know,1010
Man on the Moon,1011
"Get Up, Stand Up (Grey's Anatomy)",1012
Take It Back,1013
You've Got to Hide Your Love Away,1014
Throwing it All Away,1015
We Gotta Get Out of This Place,1016
Do You Know?,1017
You Be Illin',1018
I'm Winning,1019
Go It Alone,1020
Change of Heart,1021
We Are Never Ever Getting Back Together,1022
"Everything I Try to Do, Nothing Seems to Turn Out Right",1023
Fear (of the Unknown),1024
I Must Have Lost It on the Wind,1101
Puzzle With a Piece Missing,1102
Got to Be Real,1103
Only Mama Knows,1104
Bend & Break,1105
Don't Let's Start,1106
"Could We Start Again, Please?",1107
Risk,1108
Where Do We Go From Here,1109
The Bed's Too Big Without You,1110
All I Could Do Was Cry,1111
The Great Pretender,1112
Staring at the End,1113
The Distance,1114
I Feel the Earth Move,1115
Don't Dream It's Over,1116
With or Without You,1117
When I Grow Up,1118
Crazy Love,1119
One Flight Down,1120
How to Save a Life,1121
She's Leaving Home,1122
Time Stops,1124
You're My Home,1125
Sledgehammer,1201
Walking Tall,1202
I Choose You,1203
Old Time Rock and Roll,1204
Guess Who's Coming to Dinner,1205
The Me Nobody Knows,1206
Something Against You,1207
Things We Lost in the Fire,1208
The Sound of Silence,1209
All I Want is You,1210
Unbreak My Heart,1211
My Next Life,1212
All Eyez on Me,1213
Odd Man Out,1214
I Am Not Waiting Anymore,1215
When It Hurts So Bad,1216
I Wear the Face,1217
"There's a Fine, Fine Line",1218
"It's Alright, Ma (I'm Only Bleeding)",1219
Trigger Happy,1220
You're Gonna Need Someone on Your Side,1221
Mama Tried,1222
At Last,1223
Family Affair,1224
Undo,1301
Catastrophe and the Cure,1302
I Ain't No Miracle Worker,1303
Falling Slowly,1304
Both Sides Now,1305
Roar,1306
Why Try to Change Me Now,1307
The Room Where It Happens,1308
You Haven't Done Nothin',1309
You Can Look (But You'd Better Not Touch),1310
Jukebox Hero,1311
None of Your Business,1312
It Only Gets Much Worse,1313
Back Where You Belong,1314
Civil War,1315
Who Is He (And What Is He To You)?,1316
Till I Hear It From You,1317
"Be Still, My Soul",1318
What's Inside,1319
In the Air Tonight,1320
Don't Stop Me Now,1321
Leave It Inside,1322
True Colors,1323
Ring of Fire,1324
Break Down the House,1401
Get Off on the Pain,1402
Go Big or Go Home,1403
Ain't That a Kick in the Head,1404
Danger Zone,1405
"Come on Down to My Boat, Baby",1406
"Who Lives, Who Dies, Who Tells Your Story",1407
Out of Nowhere,1408
1-800-799-7233,1409
Personal Jesus,1410
(Don't Fear) the Reaper,1411
"Harder, Better, Faster, Stronger",1412
You Really Got a Hold on Me,1413
Games People Play,1414
"Old Scars, Future Hearts",1415
Caught Somewhere in Time,1416
One Day Like This,1417
Hold Back the River,1418
